status,dim_reduction,feature_type,index_type,r2_cut,topN,n_components,use_sigma,IS_R2,OOS_R2,MSE,RMSE,MAE,RRMSE,MASE,hit_rate,DM_t_mse,DM_p_mse,DM_t_mae,DM_p_mae,CW_t,CW_p,best_vol_model,best_vol_qlike,best_vol_coverage_95
success,none,dual,sp500,0.0,,,True,0.026686873886150875,-0.015257791883868554,0.001984464615392739,0.044547330059081416,0.03387810737041259,1.0076000158216893,1.0042912783154772,0.62,2.1952472739399633,0.028145864843501345,1.4649351753456514,0.14293860474954,-1.99525678577449,0.9769925597552115,EGARCH,1.359824538496623,0.9466666666666667
success,pca,dual,sp500,0.0,,5.0,True,0.02250314462891201,0.0014726212879541123,0.001951762662050646,0.04417875804106138,0.03363121187575678,0.9992634180795601,0.9969722451349293,0.63,-0.2792611089234013,0.7800444500146937,-1.1355177904447296,0.25615843215732736,0.5190316982088368,0.3018693183876544,EGARCH,1.3154601770813266,0.9466666666666667
success,pls,dual,sp500,0.0,,15.0,True,0.03379892297303466,-0.007274327475513376,0.001968859807674661,0.044371835748306165,0.03385553804909078,1.0036305732068516,1.0036222275827082,0.6166666666666667,1.2492315436054948,0.2115803978880939,1.0065121650464686,0.3141692627670414,-0.8488023474827882,0.8020043581390333,EGARCH,1.332967263179324,0.9466666666666667
success,shap_pca,dual,sp500,0.0,5.0,3.0,True,0.026280186148518125,0.015736957707264243,0.0019238810037048837,0.04386206793694164,0.033411079835724965,0.9921003186637608,0.9904465946472983,0.6466666666666666,-1.3612011035055738,0.17345014555331018,-1.7421144995404052,0.08148841092430348,1.6772946999809766,0.046742434232501906,EGARCH,1.347172879561463,0.9466666666666667
success,shap_pls,dual,sp500,0.0,5.0,5.0,True,0.027873391354739763,-0.0022446361369825585,0.0019590285662230283,0.044260914656421506,0.0338846095190255,1.0011216889754124,1.0044840296717101,0.62,0.20796494349466968,0.8352563399255137,0.7923467343625249,0.4281585286005438,0.3314792617318956,0.3701412515648417,EGARCH,1.3203197686325026,0.9466666666666667
success,none,dual,sp500,0.05,,,True,0.025439128674066502,-0.007488043707869929,0.0019692775462079055,0.0443765427473559,0.033710512385347315,1.0037370391232305,0.999323049720232,0.6266666666666667,1.353235149464179,0.1759805194262376,-0.2884243950651926,0.7730218962208648,-1.1838674314825663,0.881767227892734,EGARCH,1.344191477921508,0.9466666666666667
success,pca,dual,sp500,0.05,,2.0,True,0.022724866263639787,0.0023927239833875236,0.001949964191498426,0.044158398878338265,0.03364076419785548,0.9988029215098505,0.997255416613976,0.63,-0.39711274459455476,0.6912843221974307,-0.9076268043712562,0.3640754276447127,0.6608573425154916,0.2543519023390364,EGARCH,1.2850051107949358,0.95
success,pls,dual,sp500,0.05,,2.0,True,0.0659798110087283,0.006186869572002096,0.001942547998560588,0.044074346263564566,0.033532239471249406,0.9969017656860669,0.9940382818661465,0.61,-0.37046064420896546,0.7110392952069526,-0.5925907846050349,0.5534550478820857,1.4929429816093704,0.06772605642008034,EGARCH,1.288819311566959,0.9466666666666667
success,shap_pca,dual,sp500,0.05,15.0,8.0,True,0.029716612483075555,0.007812818327639248,0.0019393698522830632,0.04403827712664363,0.033651158153356786,0.9960859308675938,0.997563537688835,0.62,-1.2680164900074407,0.20479206183159882,-0.742643575965194,0.45769749890857714,1.5541557615312864,0.0600736334622225,EGARCH,1.2943849467156725,0.9466666666666667
success,shap_pls,dual,sp500,0.05,5.0,2.0,True,0.031029483229263466,0.016328409963154766,0.001922724926812008,0.043848887406774735,0.03332241597114237,0.9918021929986065,0.9878182203721813,0.65,-0.950279883190148,0.3419700578052569,-1.3520404868970528,0.17636236383433612,1.807441154739505,0.03534676100742984,EGARCH,1.408629933380021,0.95
success,none,dual,sp500,0.1,,,True,0.024035587704125838,-0.0005827160045388524,0.0019557801088136806,0.04422420274932812,0.033633781295296275,1.000291315569889,0.9970484136648189,0.6366666666666667,0.14344407619738384,0.8859394751014977,-1.38650391336031,0.16559308615502122,0.05708971222657487,0.47723686575619784,EGARCH,1.3304745834091944,0.9466666666666667
success,pca,dual,sp500,0.1,,2.0,True,0.02138744107312729,0.0019593367717014587,0.0019508113079581369,0.0441679896300266,0.03369160706366413,0.9990198512683812,0.9987626155297213,0.63,-0.3572893566278957,0.720875197052788,-0.4334323455298013,0.6647007061916628,0.6170126015763425,0.2686132069359848,EGARCH,1.3079582166080632,0.9466666666666667
success,pls,dual,sp500,0.1,,2.0,True,0.06525947446160874,0.003978272764886492,0.00194686501267112,0.04412329331170918,0.03345539209130681,0.9980088813407992,0.99176019848345,0.6266666666666667,-0.22683788006172415,0.8205498073346214,-0.8203264492644458,0.41203003226195145,1.3195479877655396,0.09349298909174686,EGARCH,1.3476505844649473,0.9466666666666667
success,shap_pca,dual,sp500,0.1,15.0,1.0,True,0.023969704128545266,0.005595808021596649,0.0019437033117644612,0.04408745072880106,0.03336327214442938,0.9971981708659534,0.9890293712209836,0.6466666666666666,-0.4406498571876226,0.659466502726741,-1.6016103362874239,0.10924180368880942,1.0995069113941924,0.13577351050582442,EGARCH,1.3868203729459867,0.9366666666666666
success,shap_pls,dual,sp500,0.1,10.0,1.0,True,0.04632396232589664,0.021227410715603856,0.00191314913855238,0.04373956033789526,0.033156487411310276,0.9893293633994678,0.9828993917126927,0.61,-1.170412150721617,0.24183514821697782,-1.7540948507642034,0.07941425585716044,2.119085266013143,0.01704163083647925,EGARCH,1.3883464633529403,0.9533333333333334
success,none,dual,sp500,0.15,,,True,0.026176954038576228,-0.006331924281566703,0.0019670177476513143,0.044351073804940896,0.03373042040217101,1.0031609662868501,0.9999132080619006,0.6266666666666667,1.2297059311978182,0.21880724495798387,-0.03504332331740371,0.9720451950604148,-1.0242748492080644,0.847147263047141,EGARCH,1.3161779730758276,0.9466666666666667
success,pca,dual,sp500,0.15,,2.0,True,0.02314321026532218,-0.005162966491180088,0.0019647328547005246,0.04432530715855813,0.033778723441477886,1.0025781597916346,1.0013451157113342,0.6266666666666667,0.8945825541104536,0.37101028119845725,0.486002906409823,0.6269651052772875,-0.6719477076882904,0.7491915063985624,EGARCH,1.265140092987199,0.9466666666666667
success,pls,dual,sp500,0.15,,2.0,True,0.06485479646554848,0.00390374582660169,0.0019470106860883566,0.04412494403496005,0.033652761202335,0.9980462184555373,0.9976110588826824,0.5933333333333334,-0.20468115334442,0.8378212461182408,-0.2272252696453308,0.8202485792192513,1.2996246915229146,0.09686481636189548,EGARCH,1.3368809124673897,0.9433333333333334
success,shap_pca,dual,sp500,0.15,20.0,2.0,True,0.02590240704908653,0.00675228083630508,0.0019414428224603663,0.04406180684516202,0.03355822690932298,0.9966181410970276,0.9948086601259973,0.63,-0.8074008111972135,0.41943559973676625,-1.300374584333774,0.1934726164482925,1.1500871979807843,0.12505397931069484,EGARCH,1.2942523565905413,0.9466666666666667
success,shap_pls,dual,sp500,0.15,10.0,8.0,True,0.02529923717100757,-0.005374176487724425,0.0019651456944422235,0.044329963844359534,0.03386626309732257,1.0026834876907689,1.003940163655138,0.61,0.4431130528648552,0.6576839643613224,0.6419772231762316,0.5208879719083732,0.11259932000375528,0.45517411209027825,EGARCH,1.3381671291354882,0.95
success,none,dual,sp500,0.2,,,True,0.02552181426946032,-0.007911990448058903,0.001970106209933948,0.04438587849681414,0.033786662135538714,1.0039482010781526,1.0015804523881837,0.63,1.529155046107756,0.1262260118536902,0.6912238823716361,0.4894248577035023,-1.3579822096454017,0.9127653353512127,EGARCH,1.3639660971611998,0.9466666666666667
success,pca,dual,sp500,0.2,,2.0,True,0.02272789847619905,0.0004223969879000311,0.001953815473640317,0.04420198495136069,0.03378423238158093,0.9997887791989366,1.001508424140514,0.63,-0.11104111458359171,0.9115837435878134,0.6523520944253288,0.514174060863057,0.358835848616344,0.35985894645852756,EGARCH,1.2581749923284884,0.9466666666666667
success,pls,dual,sp500,0.2,,15.0,True,0.03197721574027912,-0.004012033342664312,0.001962483193455695,0.04429992317663423,0.033795013730930794,1.0020040086460054,1.0018280292176855,0.61,0.5746311391674574,0.5655407876842757,0.4610556414842992,0.644758685624846,-0.168638148066103,0.5669593637714934,EGARCH,1.3451413373536525,0.95
success,shap_pca,dual,sp500,0.2,20.0,2.0,True,0.03128578357861056,0.0035066116634140387,0.0019477869408491765,0.04413373925750204,0.03361961376467329,0.9982451544268001,0.9966284277640611,0.6266666666666667,-0.5908751545429538,0.5546040743225307,-0.9087497845364239,0.36348221855028484,0.9999855464117848,0.15865875130194396,EGARCH,1.2858766750420219,0.9466666666666667
success,shap_pls,dual,sp500,0.2,15.0,1.0,True,0.04527031326777731,0.008756133512301645,0.0019375260096451733,0.04401733760287159,0.03382587823385597,0.9956123073203235,1.0027429844351772,0.5766666666666667,-0.4253077000545739,0.6706123810735418,0.2413364858158662,0.8092943348448589,1.6144377442616153,0.05321625514587214,EGARCH,1.2151322000425422,0.95
success,none,past,sp500,0.0,,,True,0.02389712714502601,-0.007762006203460681,0.0019698130445638803,0.04438257591176835,0.033688596649163786,1.0038735010963584,0.9986733740324396,0.6266666666666667,1.644427221388047,0.10008798607101799,-0.5763605420718678,0.5643715090114867,-1.4620362279392414,0.9281343587249957,EGARCH,1.339122002607468,0.9466666666666667
success,pca,past,sp500,0.0,,2.0,True,0.023143738089021704,-0.0015215028350115123,0.001957615100144319,0.04424494434558957,0.033834445968284194,1.0007604622660766,1.002996968545538,0.6133333333333333,0.26034994519608917,0.794593849797264,0.9141469243979757,0.3606396486187189,0.14040668281725838,0.4441693390171676,EGARCH,1.2557642385123797,0.9466666666666667
success,pls,past,sp500,0.0,,1.0,True,0.052316887488880304,0.002108555301580939,0.0019505196392855357,0.044164687696003645,0.033139893991792464,0.9989451660118382,0.98240749214118,0.63,-0.1161564461346441,0.9075285539764433,-1.6221975127825574,0.10476106409168962,1.3286290025334544,0.09198519935456262,EGARCH,1.4476767123423921,0.9433333333333334
success,shap_pca,past,sp500,0.0,10.0,8.0,True,0.028113464626880025,0.004096353696698585,0.0019466342068277106,0.04412067776936015,0.033420700749367156,0.9979497213303391,0.9907317994716008,0.6333333333333333,-0.5901765448233408,0.5550722953614513,-2.6826899968334135,0.00730326538865933,0.9349813308999556,0.1748989603403115,EGARCH,1.3563527861802689,0.9466666666666667
success,shap_pls,past,sp500,0.0,10.0,3.0,True,0.041415751294036296,0.01532839449595147,0.0019246795981529962,0.043871170467096,0.03317724782068266,0.9923062055152374,0.9835148185970514,0.6233333333333333,-1.4628844078501637,0.14349901118539732,-2.949946373572268,0.0031782909012834093,2.0006398623597654,0.022715607259057524,EGARCH,1.3986315560225189,0.9466666666666667
