feature_type,index_type,r2_cut,dim_reduction,topN,n_components,use_sigma,IS_R2,OOS_R2,MSE,RMSE,MAE,RRMSE,MASE,hit_rate,DM_t_mse,DM_p_mse,DM_t_mae,DM_p_mae,CW_t,CW_p,best_vol_model,best_vol_qlike,best_vol_coverage_95,strategy,combo_dir
dual,sp500,0.0,none,,,True,0.0266868738861508,-0.0152577918838685,0.0019844646153927,0.0445473300590814,0.0338781073704125,1.0076000158216891,1.0042912783154772,0.62,2.1952472739399638,0.0281458648435013,1.4649351753456514,0.14293860474954,-1.99525678577449,0.9769925597552116,EGARCH,1.359824538496623,0.9466666666666668,dual_0,none__dual__sp500__tau0
dual,sp500,0.05,none,,,True,0.0254391286740665,-0.0074880437078699,0.0019692775462079,0.0443765427473559,0.0337105123853473,1.0037370391232303,0.999323049720232,0.6266666666666667,1.353235149464179,0.1759805194262376,-0.2884243950651926,0.7730218962208648,-1.1838674314825663,0.881767227892734,EGARCH,1.344191477921508,0.9466666666666668,dual_0.05,none__dual__sp500__tau0p05
dual,sp500,0.1,none,,,True,0.0240355877041258,-0.0005827160045388,0.0019557801088136,0.0442242027493281,0.0336337812952962,1.000291315569889,0.9970484136648188,0.6366666666666667,0.1434440761973838,0.8859394751014977,-1.38650391336031,0.1655930861550212,0.0570897122265748,0.4772368657561978,EGARCH,1.3304745834091944,0.9466666666666668,dual_0.1,none__dual__sp500__tau0p1
dual,sp500,0.15,none,,,True,0.0261769540385762,-0.0063319242815667,0.0019670177476513,0.0443510738049408,0.033730420402171,1.00316096628685,0.9999132080619006,0.6266666666666667,1.2297059311978182,0.2188072449579838,-0.0350433233174037,0.9720451950604148,-1.0242748492080644,0.847147263047141,EGARCH,1.3161779730758276,0.9466666666666668,dual_0.15,none__dual__sp500__tau0p15
dual,sp500,0.2,none,,,True,0.0255218142694603,-0.0079119904480589,0.0019701062099339,0.0443858784968141,0.0337866621355387,1.0039482010781526,1.0015804523881835,0.63,1.529155046107756,0.1262260118536902,0.6912238823716361,0.4894248577035023,-1.3579822096454015,0.9127653353512128,EGARCH,1.3639660971611998,0.9466666666666668,dual_0.2,none__dual__sp500__tau0p2
past,sp500,0.0,none,,,True,0.023897127145026,-0.0077620062034606,0.0019698130445638,0.0443825759117683,0.0336885966491637,1.0038735010963584,0.9986733740324396,0.6266666666666667,1.644427221388047,0.1000879860710179,-0.5763605420718678,0.5643715090114867,-1.4620362279392414,0.9281343587249956,EGARCH,1.339122002607468,0.9466666666666668,past,none__past__sp500__tau0
dual,sp500,0.0,pca,,5.0,True,0.022503144628912,0.0014726212879541,0.0019517626620506,0.0441787580410613,0.0336312118757567,0.99926341807956,0.9969722451349292,0.63,-0.2792611089234013,0.7800444500146937,-1.1355177904447296,0.2561584321573273,0.5190316982088368,0.3018693183876544,EGARCH,1.3154601770813266,0.9466666666666668,dual_pca_0,pca__dual__sp500__tau0
dual,sp500,0.05,pca,,2.0,True,0.0227248662636397,0.0023927239833875,0.0019499641914984,0.0441583988783382,0.0336407641978554,0.9988029215098504,0.997255416613976,0.63,-0.3971127445945547,0.6912843221974307,-0.9076268043712562,0.3640754276447127,0.6608573425154916,0.2543519023390364,EGARCH,1.2850051107949358,0.95,dual_pca_0.05,pca__dual__sp500__tau0p05
dual,sp500,0.1,pca,,2.0,True,0.0213874410731272,0.0019593367717014,0.0019508113079581,0.0441679896300266,0.0336916070636641,0.9990198512683812,0.9987626155297212,0.63,-0.3572893566278957,0.720875197052788,-0.4334323455298013,0.6647007061916628,0.6170126015763425,0.2686132069359848,EGARCH,1.3079582166080632,0.9466666666666668,dual_pca_0.1,pca__dual__sp500__tau0p1
dual,sp500,0.15,pca,,2.0,True,0.0231432102653221,-0.00516296649118,0.0019647328547005,0.0443253071585581,0.0337787234414778,1.0025781597916346,1.0013451157113342,0.6266666666666667,0.8945825541104536,0.3710102811984572,0.486002906409823,0.6269651052772875,-0.6719477076882904,0.7491915063985624,EGARCH,1.265140092987199,0.9466666666666668,dual_pca_0.15,pca__dual__sp500__tau0p15
dual,sp500,0.2,pca,,2.0,True,0.022727898476199,0.0004223969879,0.0019538154736403,0.0442019849513606,0.0337842323815809,0.9997887791989366,1.001508424140514,0.63,-0.1110411145835917,0.9115837435878134,0.6523520944253288,0.514174060863057,0.358835848616344,0.3598589464585275,EGARCH,1.2581749923284884,0.9466666666666668,dual_pca_0.2,pca__dual__sp500__tau0p2
past,sp500,0.0,pca,,2.0,True,0.0231437380890217,-0.0015215028350115,0.0019576151001443,0.0442449443455895,0.0338344459682841,1.0007604622660766,1.002996968545538,0.6133333333333333,0.2603499451960891,0.794593849797264,0.9141469243979756,0.3606396486187189,0.1404066828172583,0.4441693390171676,EGARCH,1.2557642385123795,0.9466666666666668,past_pca,pca__past__sp500__tau0
dual,sp500,0.0,pls,,15.0,True,0.0337989229730346,-0.0072743274755133,0.0019688598076746,0.0443718357483061,0.0338555380490907,1.0036305732068516,1.0036222275827082,0.6166666666666667,1.2492315436054948,0.2115803978880939,1.0065121650464686,0.3141692627670414,-0.8488023474827882,0.8020043581390333,EGARCH,1.332967263179324,0.9466666666666668,dual_pls_0,pls__dual__sp500__tau0
dual,sp500,0.05,pls,,2.0,True,0.0659798110087283,0.006186869572002,0.0019425479985605,0.0440743462635645,0.0335322394712494,0.9969017656860668,0.9940382818661464,0.61,-0.3704606442089654,0.7110392952069526,-0.5925907846050349,0.5534550478820857,1.4929429816093704,0.0677260564200803,EGARCH,1.288819311566959,0.9466666666666668,dual_pls_0.05,pls__dual__sp500__tau0p05
dual,sp500,0.1,pls,,2.0,True,0.0652594744616087,0.0039782727648864,0.0019468650126711,0.0441232933117091,0.0334553920913068,0.9980088813407992,0.99176019848345,0.6266666666666667,-0.2268378800617241,0.8205498073346214,-0.8203264492644458,0.4120300322619514,1.3195479877655396,0.0934929890917468,EGARCH,1.3476505844649471,0.9466666666666668,dual_pls_0.1,pls__dual__sp500__tau0p1
dual,sp500,0.15,pls,,2.0,True,0.0648547964655484,0.0039037458266016,0.0019470106860883,0.04412494403496,0.033652761202335,0.9980462184555372,0.9976110588826824,0.5933333333333334,-0.20468115334442,0.8378212461182408,-0.2272252696453308,0.8202485792192513,1.2996246915229146,0.0968648163618954,EGARCH,1.3368809124673895,0.9433333333333334,dual_pls_0.15,pls__dual__sp500__tau0p15
dual,sp500,0.2,pls,,15.0,True,0.0319772157402791,-0.0040120333426643,0.0019624831934556,0.0442999231766342,0.0337950137309307,1.0020040086460054,1.0018280292176855,0.61,0.5746311391674574,0.5655407876842757,0.4610556414842992,0.644758685624846,-0.168638148066103,0.5669593637714934,EGARCH,1.3451413373536525,0.95,dual_pls_0.2,pls__dual__sp500__tau0p2
past,sp500,0.0,pls,,1.0,True,0.0523168874888803,0.0021085553015809,0.0019505196392855,0.0441646876960036,0.0331398939917924,0.9989451660118382,0.98240749214118,0.63,-0.1161564461346441,0.9075285539764432,-1.6221975127825574,0.1047610640916896,1.3286290025334544,0.0919851993545626,EGARCH,1.447676712342392,0.9433333333333334,past_pls,pls__past__sp500__tau0
dual,sp500,0.0,shap_pca,5.0,3.0,True,0.0262801861485181,0.0157369577072642,0.0019238810037048,0.0438620679369416,0.0334110798357249,0.9921003186637608,0.9904465946472985,0.6466666666666666,-1.3612011035055738,0.1734501455533101,-1.7421144995404052,0.0814884109243034,1.6772946999809766,0.0467424342325019,EGARCH,1.347172879561463,0.9466666666666668,dual_pca_shap_0,shap_pca__dual__sp500__tau0
dual,sp500,0.05,shap_pca,15.0,8.0,True,0.0297166124830755,0.0078128183276392,0.001939369852283,0.0440382771266436,0.0336511581533567,0.9960859308675938,0.997563537688835,0.62,-1.2680164900074409,0.2047920618315988,-0.742643575965194,0.4576974989085771,1.5541557615312864,0.0600736334622225,EGARCH,1.2943849467156725,0.9466666666666668,dual_pca_shap_0.05,shap_pca__dual__sp500__tau0p05
dual,sp500,0.1,shap_pca,15.0,1.0,True,0.0239697041285452,0.0055958080215966,0.0019437033117644,0.044087450728801,0.0333632721444293,0.9971981708659534,0.9890293712209836,0.6466666666666666,-0.4406498571876226,0.659466502726741,-1.601610336287424,0.1092418036888094,1.0995069113941924,0.1357735105058244,EGARCH,1.3868203729459867,0.9366666666666666,dual_pca_shap_0.1,shap_pca__dual__sp500__tau0p1
dual,sp500,0.15,shap_pca,20.0,2.0,True,0.0259024070490865,0.006752280836305,0.0019414428224603,0.044061806845162,0.0335582269093229,0.9966181410970276,0.9948086601259972,0.63,-0.8074008111972135,0.4194355997367662,-1.300374584333774,0.1934726164482925,1.1500871979807843,0.1250539793106948,EGARCH,1.2942523565905413,0.9466666666666668,dual_pca_shap_0.15,shap_pca__dual__sp500__tau0p15
dual,sp500,0.2,shap_pca,20.0,2.0,True,0.0312857835786105,0.003506611663414,0.0019477869408491,0.044133739257502,0.0336196137646732,0.9982451544268,0.9966284277640612,0.6266666666666667,-0.5908751545429538,0.5546040743225307,-0.908749784536424,0.3634822185502848,0.9999855464117848,0.1586587513019439,EGARCH,1.285876675042022,0.9466666666666668,dual_pca_shap_0.2,shap_pca__dual__sp500__tau0p2
past,sp500,0.0,shap_pca,10.0,8.0,True,0.02811346462688,0.0040963536966985,0.0019466342068277,0.0441206777693601,0.0334207007493671,0.9979497213303392,0.9907317994716008,0.6333333333333333,-0.5901765448233408,0.5550722953614513,-2.682689996833413,0.0073032653886593,0.9349813308999556,0.1748989603403115,EGARCH,1.3563527861802689,0.9466666666666668,past_pca_shap,shap_pca__past__sp500__tau0
dual,sp500,0.0,shap_pls,5.0,5.0,True,0.0278733913547397,-0.0022446361369825,0.001959028566223,0.0442609146564215,0.0338846095190255,1.0011216889754124,1.00448402967171,0.62,0.2079649434946696,0.8352563399255137,0.7923467343625249,0.4281585286005438,0.3314792617318956,0.3701412515648417,EGARCH,1.3203197686325026,0.9466666666666668,dual_pls_shap_0,shap_pls__dual__sp500__tau0
dual,sp500,0.05,shap_pls,5.0,2.0,True,0.0310294832292634,0.0163284099631547,0.001922724926812,0.0438488874067747,0.0333224159711423,0.9918021929986064,0.9878182203721813,0.65,-0.950279883190148,0.3419700578052569,-1.3520404868970528,0.1763623638343361,1.807441154739505,0.0353467610074298,EGARCH,1.408629933380021,0.95,dual_pls_shap_0.05,shap_pls__dual__sp500__tau0p05
dual,sp500,0.1,shap_pls,10.0,1.0,True,0.0463239623258966,0.0212274107156038,0.0019131491385523,0.0437395603378952,0.0331564874113102,0.9893293633994678,0.9828993917126928,0.61,-1.170412150721617,0.2418351482169778,-1.7540948507642034,0.0794142558571604,2.119085266013143,0.0170416308364792,EGARCH,1.3883464633529403,0.9533333333333334,dual_pls_shap_0.1,shap_pls__dual__sp500__tau0p1
dual,sp500,0.15,shap_pls,10.0,8.0,True,0.0252992371710075,-0.0053741764877244,0.0019651456944422,0.0443299638443595,0.0338662630973225,1.0026834876907689,1.003940163655138,0.61,0.4431130528648552,0.6576839643613224,0.6419772231762316,0.5208879719083732,0.1125993200037552,0.4551741120902782,EGARCH,1.3381671291354882,0.95,dual_pls_shap_0.15,shap_pls__dual__sp500__tau0p15
dual,sp500,0.2,shap_pls,15.0,1.0,True,0.0452703132677773,0.0087561335123016,0.0019375260096451,0.0440173376028715,0.0338258782338559,0.9956123073203236,1.0027429844351772,0.5766666666666667,-0.4253077000545739,0.6706123810735418,0.2413364858158662,0.8092943348448589,1.6144377442616151,0.0532162551458721,EGARCH,1.2151322000425422,0.95,dual_pls_shap_0.2,shap_pls__dual__sp500__tau0p2
past,sp500,0.0,shap_pls,10.0,3.0,True,0.0414157512940362,0.0153283944959514,0.0019246795981529,0.043871170467096,0.0331772478206826,0.9923062055152374,0.9835148185970514,0.6233333333333333,-1.4628844078501635,0.1434990111853973,-2.949946373572268,0.0031782909012834,2.000639862359765,0.0227156072590575,EGARCH,1.3986315560225189,0.9466666666666668,past_pls_shap,shap_pls__past__sp500__tau0
